activity_id,account_id,owner_rep,activity_type,activity_date,customer_request,internal_commitment,commitment_due_date,commitment_status,confirmation_source,customer_sentiment,requested_decision_date,next_step,related_case_id,note
ACT-26016A,A-1016,Maya Chen,Customer call,2026-07-02,Customer confirmed issue resolved; no recovery outreach needed.,Open case review with operational owner,2026-07-06,Completed,CRM call note,Cautious,2026-07-22,Prepare recovery evidence,CASE-7220,Initial escalation intake
ACT-26016B,A-1016,Maya Chen,Email,2026-07-11,Customer confirmed issue resolved; no recovery outreach needed.,Log closure confirmation,2026-07-11,Completed,Gmail thread,Concerned,2026-07-22,No sprint action; keep closure note,CASE-7220,Commitment carried into recovery review
ACT-26017A,A-1017,Jordan Patel,Customer call,2026-06-30,Procurement requested data-use term changes not owned by the sales desk.,Open case review with operational owner,2026-07-04,Completed,CRM call note,Concerned,2026-08-01,Prepare recovery evidence,CASE-7221,Initial escalation intake
ACT-26017B,A-1017,Jordan Patel,Email,2026-07-09,Procurement requested data-use term changes not owned by the sales desk.,Route data-use terms to manager/legal,2026-07-19,Open,Gmail thread,Escalated,2026-08-05,Escalate to manager and legal owner; no rep commitment,CASE-7221,Commitment carried into recovery review
ACT-26018A,A-1018,Priya Nair,Customer call,2026-07-05,Agency asked Northstar to wait for September consolidated brief.,Open case review with operational owner,2026-07-09,Completed,CRM call note,Cautious,2026-08-01,Prepare recovery evidence,CASE-7223,Initial escalation intake
ACT-26018B,A-1018,Priya Nair,Email,2026-07-14,Agency asked Northstar to wait for September consolidated brief.,Confirm September agency hold,2026-07-14,Completed,Gmail thread,Concerned,2026-08-05,Hold for September agency review,CASE-7223,Commitment carried into recovery review
ACT-26037,A-1001,Maya Chen,Manager huddle,2026-07-14,CMO asked for delivery plan before renewal call.,Confirm Tier 1 handling,2026-07-16,Open,Internal checkpoint,Escalated,2026-07-24,Confirm makegood inventory and delivery recovery plan,CASE-7201,Manager visibility item
ACT-26038,A-1005,Devon Brooks,Ad ops standup,2026-07-13,VP Marketing requested audience correction plan before PO.,Product support to validate audience rebuild,2026-07-18,Open,Internal checkpoint,Escalated,2026-08-05,Swap misaligned audience package and reset delivery proof,CASE-7207,Manager visibility item
ACT-26039,A-1012,Jordan Patel,Billing huddle,2026-07-14,Digital director requested delivery remedy and invoice note.,Billing owner to confirm PO correction,2026-07-18,Open,Internal checkpoint,Escalated,2026-08-01,Confirm makegood placement and invoice correction route,CASE-7215,Manager visibility item
ACT-26040,A-1014,Luis Romero,Manager huddle,2026-07-14,"Finance VP requested $42,000 credit tied to verified invoice dispute.",Manager to decide over-limit credit route,2026-07-17,Open,Internal checkpoint,Escalated,2026-07-30,Route credit request to manager; do not promise local credit,CASE-7218,Manager visibility item
ACT-26041,A-1017,Jordan Patel,Legal handoff,2026-07-14,Procurement requested data-use term changes not owned by the sales desk.,Legal owner to draft data-use response,2026-07-24,Open,Internal checkpoint,Escalated,2026-08-05,Escalate to manager and legal owner; no rep commitment,CASE-7221,Manager visibility item
